YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1958,PRIVATE,80,43.687311357,-79.423463821
1958,PRIVATE,97,43.726271603,-79.431876054
1958,PRIVATE,97,43.733380914,-79.43358678
1958,PRIVATE,76,43.7449473955,-79.4355426861
1958,PRIVATE,95,43.7428392461,-79.4358673585
1958,PRIVATE,80,43.6890952984,-79.4358713128
1958,PRIVATE,94,43.7437026681,-79.4360783017
1958,PRIVATE,85,43.6378411067,-79.4395051216
1958,PRIVATE,74,43.735937772,-79.439651849
1958,PRIVATE,74,43.698110145,-79.440043712
1959,PRIVATE,95,43.729247112,-79.256767774
1959,PRIVATE,96,43.729247112,-79.256767774
1959,PRIVATE,93,43.6960744656,-79.2646078047
1959,PRIVATE,92,43.7092676432,-79.2670048703
1959,PRIVATE,88,43.685487692,-79.27497005
1959,PRIVATE,69,43.706994795,-79.295836771
1959,PRIVATE,94,43.7059714885,-79.2960157018
1959,PRIVATE,85,43.7284977107,-79.2991802272
1959,PRIVATE,76,43.7305607276,-79.3055621564
1959,PRIVATE,94,43.7433324856,-79.3097740889
1959,PRIVATE,86,43.7099171147,-79.309915823
1959,PRIVATE,93,43.7441147474,-79.310048062
1959,PRIVATE,97,43.729582726,-79.342147167
1959,PRIVATE,99,43.735948407,-79.342481853
1959,PRIVATE,97,43.736543344,-79.342621785
1959,PRIVATE,98,43.690768756,-79.343386205
1959,PRIVATE,89,43.690409504,-79.345192362
1959,PRIVATE,90,43.7037023569,-79.3467690026
1959,PRIVATE,90,43.7096715692,-79.3877050261
1959,PRIVATE,89,43.672819085,-79.395361896
1959,PRIVATE,97,43.689904882,-79.398621601
1959,PRIVATE,93,43.689842541,-79.398960779
1959,PRIVATE,93,43.689525789,-79.399154737
1959,PRIVATE,85,43.665065952,-79.4034815
1959,PRIVATE,87,43.6856691737,-79.4040338654
1959,PRIVATE,99,43.7522561858,-79.4046460528
1959,PRIVATE,99,43.7529197389,-79.4048046905
1959,PRIVATE,86,43.685428165,-79.409063969
1959,PRIVATE,93,43.6847612919,-79.4193183625
1959,PRIVATE,95,43.7404203378,-79.4237155283
1959,PRIVATE,90,43.705178016,-79.425108275
1959,PRIVATE,92,43.7030025746,-79.4254211861
1959,PRIVATE,93,43.6358852908,-79.4287210164
1959,PRIVATE,90,43.634808178,-79.434763919
